0,37
256,226
12807168,171
12807424,226
13369088,240
13369344,226
16777216,244
16779264,131
16841728,73
16843008,80
16909056,226
16974592,80
17023488,20
18225152,99
18569472,169
19137280,96
19198976,105
19306240,99
19623168,13
19769856,105
20233728,232
20979200,96
23986432,105
25584384,226
26243328,13
26778880,73
30053120,44
32820480,47
33523968,105
33554432,226
33555200,73
33686016,57
33698048,73
33996288,225
34123008,73
34668288,226
34815232,80
35190784,240
36052736,105
36965632,104
37512704,177
38803712,172
39335680,187
39522304,207
39543552,187
39710976,177
39918592,240
40434688,58
41097216,105
41455360,240
42471936,199
42997248,226
44018944,105
46688768,80
47731456,240
50331648,226
67277056,38
67277312,226
68305408,138
68305664,226
68696064,99
68696320,226
68696576,99
68696832,226
68698624,218
68698880,226
68718848,37
68719104,226
68789504,99
68789760,226
69533952,38
69534208,226
70309888,38
70310144,226
70310656,38
70311424,226
70311680,38
70313472,226
71021568,38
71021824,226
71571200,80
71571456,226
71571712,80
71571968,226
71593216,73
71593472,226
71594752,206
71595008,240
71595520,80
71595776,226
71664896,80
71665152,226
71666432,240
71666688,38
71666944,240
71667200,226
72304640,38
72304896,226
72348672,38
72348928,226
75321856,30
75322112,226
77118720,38
77118976,226
78312192,99
78312448,226
78706688,101
78706944,226
78707968,101
78708224,226
79327744,38
79328000,226
82874368,55
82874624,226
82900992,101
82901248,226
83286272,240
83286528,226
83361280,44
83361536,226
86239488,107
89442560,193
92131328,14
94585344,205
94951936,171
100663296,226
100728576,240
100728576,30
100728832,226
100873984,105
100874240,226
134508544,63
134508800,226
134545664,100
134545920,226
134672384,138
134672896,226
134693120,38
134693376,226
134725632,80
134725888,226
134730240,38
134730496,226
134874624,61
134874880,226
135069952,177
135070208,226
135192576,138
135192832,226
135193088,138
135193856,226
135199232,138
135199488,226
135200256,138
135200512,226
135603200,38
135603456,226
147257856,240
147258112,226
150942464,13
150942720,226
151260672,206
151260928,226
151264512,206
151264768,226
151276800,206
151277056,226
151281152,206
151281408,226
152214272,30
152214528,226
152305664,225
152305920,226
162497536,83
162497792,226
163500800,13
163501056,226
164911616,156
164911872,226
167772160,197
167772416,226
167785984,199
167786240,226
167790080,13
167790336,226
167803136,38
167803392,226
167803904,240
167804160,226
167837952,13
167838208,99
167838464,226
167840256,30
167840512,99
167840768,226
167842816,47
167843072,21
167843328,226
167845376,44
167845632,226
167860480,100
167860736,226
167863808,206
167864064,226
167867648,150
167867904,226
167881984,30
167882240,226
167901952,38
167902208,226
167903232,218
167903488,226
167903744,57
167904000,226
167929344,38
167929600,226
167930368,240
167930624,226
168034304,100
168034560,226
168036352,100
168036608,226
168038656,73
168038912,226
168039936,171
168040192,226
168070400,99
168070656,226
168100096,73
168100352,226
168101120,199
168101376,226
168113408,102
168113664,226
168116224,38
168116480,226
168166912,73
168167168,226
168243968,150
168244224,226
168296448,21
168296704,226
168297216,100
168297472,226
168323840,99
168324096,226
168349696,47
168349952,226
168355840,99
168356096,226
168396032,171
168396288,226
168427520,38
168427776,99
168428032,226
168428544,33
168429056,226
168430080,101
168430336,226
168432128,102
168432384,226
168435200,138
168435456,226
168436224,99
168436480,226
168443648,240
168443904,226
168457728,177
168457984,226
168459264,99
168459520,226
168460288,177
168460544,226
168462848,240
168463104,226
168471040,177
168471296,226
168475904,105
168476160,226
168481536,189
168481792,226
168570368,99
168570624,226
168578816,99
168579072,226
168619008,240
168619264,226
